idno,auction,consign,sold,lotdamag,grossrev,ebitda,ftterm,fthead,ptterm,pthead,wcclaims,osha,type,legacy,training,t1,t2,t3,trhrs,prof,pfevale,jobdesc,selection,griev,fininf,plninf,rotat,cross,bonus,merit,senpay,intprom,intpost,applic,gmten,ei,oc
22,Edmonton S,27429,18474,"$16,307.00","$7,184,544.00","$3,071,239.00",12,54,50,64,2,4,2,1,1,1,1,1,4,2,2,1,1,1,1,1,0,1,0,0,0,3,1,4,2,4.460,4.55
23,El Dorado,106445,62678,"$79,045.05","$20,925,264.29","$5,399,563.05",139,243,65,65,5,22,2,1,1,1,0,1,12,2,3,1,0,1,1,1,0,1,1,1,0,4,1,3,3,3.390,2.98
24,El Paso,52709,27619,"$119,260.77","$10,938,309.52","-$445,374.36",122,129,75,54,13,23,2,1,1,1,0,1,5,1,3,1,0,1,1,1,0,1,1,1,0,1,1,5,2,2.676,2.10
25,Eugene,40549,19238,"$42,205.88","$9,929,586.13","$1,440,741.41",32,184,10,26,12,29,2,2,0,1,1,1,3,1,5,1,1,0,1,1,1,1,1,0,0,3,1,20,1,3.543,2.86
26,Golden Gate,138436,77805,"$140,435.00","$29,671,609.00","$7,574,156.00",285,341,52,61,3,12,2,2,1,1,0,0,4,3,1,1,1,1,1,1,0,1,0,0,0,3,1,3,2,1.855,2.75
27,Grapevine,46503,25681,"$45,398.25","$12,174,812.00","$1,613,279.50",52,453,45,62,10,42,3,2,0,1,1,1,33,1,5,1,1,1,1,1,0,1,1,1,0,3,1,14,1,3.629,4.63
28,Green Bay,70472,39952,"$24,265.89","$10,573,589.33","$4,436,374.39",1,65,94,108,2,12,2,2,0,1,0,1,80,3,5,1,1,1,1,1,1,1,1,1,0,4,1,10,1,4.212,4.64
29,Halifax,26233,19273,"$14,465.00","$6,291,379.00","$1,867,948.00",11,121,50,57,5,6,2,2,1,1,0,1,4,3,3,1,1,1,1,1,0,1,1,0,0,3,1,4,3,3.186,3.88
30,Hamilton,47911,27735,"$26,982.00","$10,105,587.00","$2,613,410.50",64,79,29,61,2,3,2,2,0,1,0,1,2,2,0,0,0,0,0,1,0,1,1,1,0,1,1,5,0,3.434,3.88
31,Houston,41218,16185,"$51,028.00","$6,556,124.00","$42,247.00",80,63,48,37,2,30,2,1,0,1,0,1,1,4,0,1,1,0,1,1,0,1,0,0,0,2,1,1,1,1.052,1.48
